Scenario,TID,TestCase Description,PreCondition,TestSteps,Expected Result,Actual Result,Status,Executed QA Name,Misc (Comments),Priority,Is Automated
Valid Login,TID-001,Sample login test case 1,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,No
Valid Login,TID-002,Sample login test case 2,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,Yes
Valid Login,TID-003,Sample login test case 3,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,High,No
Valid Login,TID-004,Sample login test case 4,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,Yes
Valid Login,TID-005,Sample login test case 5,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,No
Valid Login,TID-006,Sample login test case 6,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,High,Yes
Valid Login,TID-007,Sample login test case 7,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,No
Valid Login,TID-008,Sample login test case 8,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,Yes
Valid Login,TID-009,Sample login test case 9,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,High,No
Valid Login,TID-010,Sample login test case 10,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,Yes
Valid Login,TID-011,Sample login test case 11,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,Medium,No
Valid Login,TID-012,Sample login test case 12,Application is available,"1. Open app
2. Navigate to Login
3. Enter credentials
4. Click Login",System behaves as expected,,Not Executed,,,High,Yes
