Test Case ID,Test Suite,Test Module,Test Case Title,Test Case Description,Pre-Conditions,Test Steps,Test Data (Input),Expected Result,Actual Result,Status,Priority,Remarks
TC-CN-001,CN Export Controls,Full Embargo Check,Destination is a Full Embargo (Absolute) Country,Verify that when the destination country has ABSOLUTE flag = Y in LCS_ABSOLUTE_EMBARGO table the system returns Embargo decision with EL license,"1. System has CN Export Controls module active. 2. LCS_ABSOLUTE_EMBARGO table contains the destination country with ABSOLUTE = Y","1. Create an order with China (CN) as origin. 2. Set Country of Ultimate Destination (CUD) to a country with ABSOLUTE flag = Y (e.g., Cuba - CU). 3. Run License Determination. 4. Check the decision and license output.","COS=CN, CUD=CU (Cuba - full embargo), ECN=EAR99, ECN.DOS=N","Decision = Embargo; License = EL; Hold = DOC Hold",,Not Executed,Critical,ABSOLUTE flag must be Y in LCS_ABSOLUTE_EMBARGO table per revision history note 2
TC-CN-002,CN Export Controls,Full Embargo Check,Destination is NOT a Full Embargo Country,Verify that when the destination country has no absolute embargo the system proceeds to the Sanction country check,"1. System has CN Export Controls module active. 2. Destination country is NOT present with ABSOLUTE = Y in LCS_ABSOLUTE_EMBARGO","1. Create an order with COS = CN. 2. Set CUD to a non-embargo country (e.g., Germany - DE). 3. Run License Determination. 4. Verify system moves to next check (Sanction check).","COS=CN, CUD=DE (Germany - no embargo), ECN=EAR99, ECN.DOS=N","System does not return Embargo decision; proceeds to Sanction Country check",,Not Executed,High,
TC-CN-003,CN Export Controls,Sanction Country Check,Destination is Sanction Country with Military End Use,Verify that when destination is a sanction country AND end use is Military the system returns EL (DOC Hold) with Sanctions may apply comment,"1. Destination country has ABSOLUTE = N in LCS_ABSOLUTE_EMBARGO (sanction but not full embargo). 2. Order has military end use flag set","1. Create an order with COS = CN. 2. Set CUD to a sanction country (ABSOLUTE=N). 3. Set End Use = Military. 4. Run License Determination. 5. Verify license and comments.","COS=CN, CUD=SY (Syria - sanction), EndUse=Military, ECN=EAR99, ECN.DOS=N","License = EL; Hold = DOC Hold; Comments include 'Sanctions may apply'",,Not Executed,Critical,Per Ver. 14.5.6 - Military end use triggers DOC Hold even for sanction-only countries
TC-CN-004,CN Export Controls,Sanction Country Check,Destination is Sanction Country with Military Intelligence End Use,Verify that Military Intelligence end use is treated same as Military for sanction countries - triggers EL DOC Hold with sanctions comment,"1. Destination country has ABSOLUTE = N in LCS_ABSOLUTE_EMBARGO. 2. Order has Military Intelligence end use flag set (added per 08/03/21 revision)","1. Create an order with COS = CN. 2. Set CUD to a sanction country. 3. Set End Use = Military Intelligence. 4. Run License Determination. 5. Verify license and comments.","COS=CN, CUD=SY (Syria - sanction), EndUse=Military Intelligence, ECN=EAR99, ECN.DOS=N","License = EL; Hold = DOC Hold; Comments include 'Sanctions may apply'",,Not Executed,Critical,Military Intelligence check added 08/03/21 per revision history
TC-CN-005,CN Export Controls,Sanction Country Check,Destination is Sanction Country with Non-Military End Use,Verify that sanction country with non-military end use adds Sanctions may apply comment but continues license determination flow,"1. Destination country has ABSOLUTE = N in LCS_ABSOLUTE_EMBARGO. 2. Order has non-military end use","1. Create an order with COS = CN. 2. Set CUD to a sanction country. 3. Set End Use = Commercial. 4. Run License Determination. 5. Verify Sanctions comment is added and flow continues to ECN.DOS check.","COS=CN, CUD=SY (Syria - sanction), EndUse=Commercial, ECN=EAR99, ECN.DOS=N","Sanctions may apply comment added to decision; flow continues to ECN.DOS check; final result depends on ECN values",,Not Executed,High,
TC-CN-006,CN Export Controls,Sanction Country Check,Destination is NOT a Sanction Country,Verify that non-sanction non-embargo destination proceeds directly to ECN.DOS check without any sanctions comment,"1. Destination country is neither in LCS_ABSOLUTE_EMBARGO with ABSOLUTE=Y nor ABSOLUTE=N","1. Create an order with COS = CN. 2. Set CUD to a non-sanction country (e.g., Japan - JP). 3. Run License Determination. 4. Verify no sanctions comment is added; flow proceeds to ECN.DOS check.","COS=CN, CUD=JP (Japan - no sanction/embargo), EndUse=Commercial, ECN=EAR99, ECN.DOS=N","No Sanctions may apply comment; flow proceeds to ECN.DOS check",,Not Executed,High,
TC-CN-007,CN Export Controls,ECN.DOS Check,ECN.DOS Flag is Y - Munitions List Item,Verify that when ECN.DOS = Y (item is on Munitions List) the system returns EL with DOS Hold,"1. Item is classified under Military Goods List (ECN.DOS flag set to Y per note 1). 2. Destination is not under embargo or sanction","1. Create an order with COS = CN. 2. Set CUD = JP (non-sanction). 3. Use an item with ECN.DOS = Y. 4. Run License Determination. 5. Verify license and hold type.","COS=CN, CUD=JP, ECN.DOS=Y (Munitions List item), EndUse=Commercial","License = EL; Hold = DOS Hold",,Not Executed,Critical,ECN.DOS=Y is set for all items classified under Military Goods List per note 1
TC-CN-008,CN Export Controls,ECN.DOS Check,ECN.DOS Flag is N - Not a Munitions List Item,Verify that when ECN.DOS = N the system proceeds to ECN classification check,"1. Item is NOT classified under Military Goods List (ECN.DOS = N). 2. Destination is not under embargo or sanction","1. Create an order with COS = CN. 2. Set CUD = JP (non-sanction). 3. Use an item with ECN.DOS = N. 4. Run License Determination. 5. Verify system proceeds to ECN check.","COS=CN, CUD=JP, ECN.DOS=N, ECN=EAR99, EndUse=Commercial","System does not return DOS Hold; proceeds to ECN = NOCLASS check",,Not Executed,High,
TC-CN-009,CN Export Controls,ECN.DOS Check,ECN.DOS Flag is NULL or Empty,Verify system behavior when ECN.DOS flag is null or not populated - should be treated as N and proceed to ECN check,"1. Item has no ECN.DOS classification. 2. Destination is not under embargo or sanction","1. Create an order with COS = CN. 2. Set CUD = JP. 3. Use an item where ECN.DOS = NULL. 4. Run License Determination. 5. Observe system behavior.","COS=CN, CUD=JP, ECN.DOS=NULL, ECN=EAR99","System treats NULL ECN.DOS as N and proceeds to ECN check; no DOS Hold",,Not Executed,Medium,Edge case - system should handle null gracefully
TC-CN-010,CN Export Controls,ECN Classification Check,ECN equals NOCLASS - No Dual Use License Required,Verify that when ECN = NOCLASS (item has no dual-use classification) the decision is NLR (No License Required),"1. Item is NOT on Munitions List (ECN.DOS = N). 2. Item ECN = NOCLASS. 3. Destination is not under embargo or sanction","1. Create an order with COS = CN. 2. Set CUD = JP (non-sanction). 3. Use an item with ECN = NOCLASS and ECN.DOS = N. 4. Run License Determination. 5. Verify decision.","COS=CN, CUD=JP, ECN=NOCLASS, ECN.DOS=N, EndUse=Commercial","Decision = NLR (No Dual Use License Required)",,Not Executed,Critical,Happy path - most common expected outcome for uncontrolled items
TC-CN-011,CN Export Controls,ECN Classification Check,ECN has a Valid Classification Code (Not NOCLASS),Verify that when ECN contains a specific dual-use classification code (not NOCLASS) the system returns EL with DOC Hold,"1. Item has a specific ECN dual-use code. 2. ECN.DOS = N. 3. Destination is not under embargo or sanction","1. Create an order with COS = CN. 2. Set CUD = JP. 3. Use an item with a specific ECN code (e.g., 5A002). 4. Run License Determination. 5. Verify license and hold.","COS=CN, CUD=JP, ECN=5A002, ECN.DOS=N, EndUse=Commercial","License = EL; Hold = DOC Hold",,Not Executed,Critical,
TC-CN-012,CN Export Controls,ECN Classification Check,ECN is NULL or Empty,Verify system behavior when ECN field is null - should NOT be treated as NOCLASS and should result in EL DOC Hold,"1. Item has no ECN classification populated. 2. ECN.DOS = N. 3. Destination is not under embargo or sanction","1. Create an order with COS = CN. 2. Set CUD = JP. 3. Use an item with ECN = NULL. 4. Run License Determination. 5. Verify system behavior.","COS=CN, CUD=JP, ECN=NULL, ECN.DOS=N","License = EL; Hold = DOC Hold (NULL ECN should not be treated as NOCLASS)",,Not Executed,High,Security-sensitive: unclassified items should not automatically get NLR
TC-CN-013,CN Export Controls,ECN Classification Check,ECN equals NOCLASS with Different Case (Case Sensitivity),Verify whether ECN = noclass or Noclass is handled consistently - system must define if check is case-sensitive,"1. Item ECN = lowercase noclass or mixed case. 2. ECN.DOS = N. 3. Destination not under embargo","1. Create an order with COS = CN. 2. Set CUD = JP. 3. Set ECN = 'noclass' (lowercase). 4. Run License Determination. 5. Compare result with ECN = NOCLASS.","COS=CN, CUD=JP, ECN=noclass (lowercase), ECN.DOS=N","Document expected system behavior - if case-sensitive then EL/DOC Hold; if case-insensitive then NLR",,Not Executed,Medium,Edge case for data quality validation
TC-CN-014,CN Export Controls,COS Determination,Line Level COS Exists - Use Line COS,Verify that when a Line-level Source Country (COS) is populated it takes precedence over Header COS and Shipper country,"1. Order has both Header COS and Line COS populated","1. Create an order with Header COS = US and Line COS = CN. 2. Run License Determination. 3. Verify COS used = Line COS (CN).","Header COS=US, Line COS=CN, Header Shipper Country=DE","COS = CN (Line COS country code takes highest precedence)",,Not Executed,High,
TC-CN-015,CN Export Controls,COS Determination,Line COS Missing - Fallback to Header COS,Verify that when Line COS is not populated the system uses Header COS as Country of Source,"1. Order has Header COS populated but NO Line COS","1. Create an order with Header COS = CN and no Line COS. 2. Run License Determination. 3. Verify COS = Header COS (CN).","Header COS=CN, Line COS=NULL, Header Shipper Country=DE","COS = CN (Header COS country code)",,Not Executed,High,
